FaultType,GroundResistance,PhaseA_Max,PhaseB_Max,PhaseC_Max,Ground_Max
Three_Phase_to_Ground_Fault_ABC_Ground,0.1,767.3107449,700.1110009,792.7979064,378.6864622
Three_Phase_Short_CKT_Fault_ABC,0.1,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.1,1035.461744,967.854234,131.5696741,718.7035959
Double_Line_to_Ground_Fault_AC_Ground,0.1,864.8195395,129.3200877,845.4564312,503.670447
Double_Line_to_Ground_Fault_BC_Ground,0.1,132.3601676,674.4157788,802.3895481,329.831465
Line_to_Line_Fault_AB,0.1,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.1,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.1,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.1,1031.30524,99.16853134,123.9656814,654.3723288
Single_Line_to_Ground_Fault_B_Ground,0.1,126.9612298,654.1111139,85.73604623,905.8806029
Single_Line_to_Ground_Fault_C_Ground,0.1,131.5647513,131.5650757,770.0303011,815.7487681
No_Fault,0.1,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.2,767.3107449,700.1110009,792.7979065,371.877268
Three_Phase_Short_CKT_Fault_ABC,0.2,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.2,1043.048834,583.9425933,85.04686617,644.6280633
Double_Line_to_Ground_Fault_AC_Ground,0.2,956.6172609,131.6177282,1250.153948,473.3464111
Double_Line_to_Ground_Fault_BC_Ground,0.2,132.3414635,681.7538086,811.3154409,338.3430446
Line_to_Line_Fault_AB,0.2,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.2,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.2,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.2,1021.665841,101.2368279,126.5909669,639.8718037
Single_Line_to_Ground_Fault_B_Ground,0.2,131.5654577,756.8386112,131.5649842,839.1373495
Single_Line_to_Ground_Fault_C_Ground,0.2,94.04352176,124.9820448,724.7018863,787.1994207
No_Fault,0.2,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.3,767.3107449,700.1110009,792.7979065,376.4966774
Three_Phase_Short_CKT_Fault_ABC,0.3,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.3,1050.132771,583.4764196,85.04686695,637.764511
Double_Line_to_Ground_Fault_AC_Ground,0.3,971.4317685,114.6156972,1120.185375,473.6414804
Double_Line_to_Ground_Fault_BC_Ground,0.3,133.47154,734.6845379,554.2999548,451.5197977
Line_to_Line_Fault_AB,0.3,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.3,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.3,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.3,1011.694559,103.2903209,129.2276662,625.1366998
Single_Line_to_Ground_Fault_B_Ground,0.3,124.0578645,636.8765409,88.16858196,823.9965324
Single_Line_to_Ground_Fault_C_Ground,0.3,131.4745115,131.4747721,733.6813691,718.1654603
No_Fault,0.3,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.4,767.3107449,700.1110009,792.7979065,381.3484177
Three_Phase_Short_CKT_Fault_ABC,0.4,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.4,1056.737277,714.637293,131.5295395,712.0267349
Double_Line_to_Ground_Fault_AC_Ground,0.4,985.9298075,113.1388187,1134.183583,473.9600404
